#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
857,Trey Benson,RB,ARI,169.90 (0.10),182.20,,,262.56 (-13.06),216.00,238.90,345.05 (-1.08),265.85 (-2.02),347.63 (-0.39)
858,Michael Mayer,TE,LV,170.10,,,,273.00 (-16.00),215.10 (-0.10),238.86 (-3.86),262.02 (-3.11),282.20 (0.65),232.07 (-12.68)
859,LeQuint Allen,RB,JAC,170.30,,,,229.08 (-11.61),215.70,240.75 (0.89),316.23 (-3.48),271.17 (1.19),320.68 (-9.57)
860,Arizona Cardinals,DST,ARI,169.70,273.00,,,,,,,279.25 (-0.87),
861,J.J. McCarthy,QB,MIN,169.70,224.20,,,,215.90 (-0.20),240.38 (-1.98),315.60 (-7.11),278.27 (-0.80),260.21 (-16.80)
862,DJ Giddens,RB,IND,170.20 (-0.10),,,,240.33 (-12.52),215.80 (-1.00),235.62 (2.09),304.91 (-15.98),278.71 (0.33),326.40 (-8.02)
863,Caleb Douglas,WR,MIA,170.40 (-0.10),,,,249.54 (-11.37),211.60 (2.70),233.75 (0.90),310.11 (23.26),277.17 (0.98),304.50 (23.30)
864,Jalen Tolbert,WR,MIA,170.40 (-0.10),,,,221.24 (-4.99),215.70 (-0.20),241.40,334.92 (-5.47),274.51 (0.53),343.88 (-14.79)
865,Mac Jones,QB,SF,169.90,,,,,215.90 (0.10),,316.83 (-9.12),275.07 (-0.60),276.67 (-9.19)
866,Seth McGowan,RB,IND,170.20,,,,241.62 (2.93),215.20 (0.80),235.64 (-2.83),329.85 (16.45),277.08 (1.06),344.06
867,Drew Allar,QB,PIT,169.90,,,,,216.00,,349.27,,347.77
868,Taylen Green,QB,CLE,170.00,,,,,216.00,,349.48,,347.60
869,Ameer Abdullah,RB,JAC,170.00,,,,,216.00,,349.58,,
870,Andrei Iosivas,WR,CIN,170.30 (-0.20),,,,232.00,215.10 (0.10),232.33 (-0.63),342.07 (4.21),279.72 (0.17),344.12 (1.42)
871,Erick All,TE,CIN,170.00,,,,,215.60 (-0.20),239.45 (5.55),327.27 (4.59),275.83 (-0.86),314.34 (13.72)
872,Chris Brooks,RB,GB,170.20,,,,239.67 (-12.22),216.00,231.28 (-2.94),344.55 (-17.77),272.44 (-1.23),348.80 (-3.46)
873,Darnell Washington,TE,PIT,169.40 (0.20),,,,275.00,215.20 (-0.30),235.75,298.10 (-12.16),281.35 (0.12),272.39 (-7.11)
874,John Metchie,WR,CAR,170.00,,,,,216.00,,325.86 (3.24),273.89 (0.17),330.57 (5.45)
875,Chimere Dike,WR,TEN,170.50 (0.50),229.40,,,265.75 (-24.55),215.80,236.82 (1.09),348.65 (0.98),258.31 (-3.20),
876,Kaleb Johnson,RB,PIT,170.00 (0.10),217.50,,,255.83 (-23.33),216.00,236.68 (1.00),349.11 (-2.94),282.18 (0.31),348.80 (-4.59)
877,Devaughn Vele,WR,NO,170.70 (0.40),239.80,,,244.87 (-9.37),215.20 (-0.30),236.83 (4.00),343.93 (-2.55),277.27 (-0.68),346.67 (-11.63)
878,Najee Harris,RB,NYG,170.00,212.30,,,258.75 (-12.89),215.90,246.43,344.77 (-1.61),280.70 (0.15),347.58 (-1.84)
879,Justin Fields,QB,KC,169.90,,,,,215.90,236.38 (1.62),334.58 (-0.48),280.08 (-0.27),312.34 (-2.52)
880,Isaiah Davis,RB,NYJ,170.30 (-0.10),,,,250.12 (-9.58),216.00 (-0.20),239.61 (-0.53),336.54 (-23.87),271.75 (0.23),346.56 (-5.27)
881,Odell Beckham,WR,NYG,169.10 (0.20),,,,254.00,215.90,225.22,349.23 (0.42),274.01 (-0.09),348.83
882,Charlie Kolar,TE,LAC,170.00,,,,,214.80 (0.50),,332.66 (-4.77),274.68 (-0.12),325.92 (-0.54)
883,Hollywood Brown,WR,PHI,169.90 (0.10),,,,,215.90 (-0.10),237.83,347.39 (-0.20),269.52 (-0.73),348.85 (-3.09)
884,Eli Raridon,TE,NE,169.90,,,,268.50 (-7.50),215.40 (0.10),,310.54 (3.20),276.96 (-0.82),310.07 (1.95)
885,Devin Singletary,RB,NYG,170.10,,,,235.46 (-8.13),216.00,234.67,349.92 (-0.21),284.28 (-0.18),
886,Dawson Knox,TE,BUF,169.80,,,,,215.70 (0.10),,326.90 (-5.60),282.03 (-0.19),317.08 (-13.84)
887,Ja'Tavion Sanders,TE,CAR,170.00,,,,,215.90 (-0.10),,327.27 (-13.42),282.73 (-0.41),314.57 (-13.44)
888,Bryce Lance,WR,NO,170.00,,,,257.00 (-16.00),216.00,224.33 (-7.24),349.27 (-0.91),277.55 (0.11),348.86 (-0.52)
889,Skyler Bell,WR,BUF,169.90,,,,243.92 (-10.78),215.70 (-0.20),238.73 (-3.13),345.64 (-5.17),280.56 (0.34),346.15 (-3.42)
890,Brashard Smith,RB,KC,170.10,226.30,,,268.50,215.90 (0.10),238.06 (-0.61),347.11 (2.26),282.56 (-0.47),348.66 (-0.20)
891,Elijah Arroyo,TE,SEA,169.90,,,,,215.80 (0.10),,329.79 (4.39),284.76 (0.26),330.98 (8.96)
892,Jack Bech,WR,LV,171.30,238.20,,,270.00 (-23.14),215.60 (-0.10),236.70 (-3.22),343.09 (-9.11),276.02 (-0.41),
893,Ty Simpson,QB,LA,169.90,241.80,,,,216.00,,343.90 (1.14),279.18 (0.44),332.61 (5.88)
894,Barion Brown,WR,NO,170.00,,,,265.00,215.90 (0.10),,349.76,,348.87
895,Theo Wease,WR,MIA,170.00,,,,,216.00,,341.75 (-3.97),273.13 (0.02),337.87 (-1.72)
896,Jahan Dotson,WR,ATL,170.20,,,,258.38 (-18.18),215.70,229.00,346.39 (0.05),281.90 (-0.02),340.72 (3.18)
897,Xavier Legette,WR,CAR,170.90 (-0.20),,,,255.80,215.30 (-0.60),231.16 (-0.30),343.02 (-1.20),285.52 (0.59),344.08 (-2.63)
898,Joe Flacco,QB,CIN,169.90 (0.10),,,,,216.00,,332.59 (-0.96),282.65 (-0.27),316.72 (-9.50)
899,Devontez Walker,WR,BAL,169.90,,,,242.00,215.90 (-0.10),,348.73 (-2.17),276.29 (-0.32),
900,Cade Klubnik,QB,NYJ,170.00 (-0.10),,,,,216.00,,344.09 (-1.60),273.23 (-0.14),335.40 (-7.14)
901,Trevor Etienne,RB,CAR,170.10,,,,244.00 (-16.00),216.00,,349.74 (-0.15),275.85 (0.23),
902,Kendrick Bourne,WR,ARI,170.00,,,,,215.90,239.63 (-1.96),347.46 (-0.25),282.81 (0.14),341.90 (-3.46)
903,Malik Davis,RB,DAL,170.10 (-0.10),,,,268.00 (-21.50),216.00 (-0.10),235.33 (-2.20),342.30 (-1.29),275.40 (-1.11),347.59 (-6.03)
904,Jameis Winston,QB,NYG,169.90,,,,,216.00,,338.45 (-2.67),281.16 (-0.23),315.55 (-2.73)
905,Luke McCaffrey,WR,WAS,169.90 (0.10),,,,245.00,216.00 (-0.10),,349.49 (-0.78),276.50 (-0.13),348.86
906,AJ Dillon,RB,CAR,170.00,,,,,216.00,,346.61 (1.17),273.04,
907,Kareem Hunt,RB,Free Agent,170.00,,,,255.00 (-22.33),216.00 (-0.10),,339.13 (2.52),277.18 (0.99),337.91 (-0.63)
908,Tampa Bay Buccaneers,DST,TB,169.40 (-0.20),232.40,,,,,,349.33 (-1.10),255.30 (-1.82),
